fish_indiv,lat,lon,site
2327,10.6524255,124.783547,Tamakin Dacot
2327,10.714937561921428,124.76378339043214,Tamakin Dacot
2352,10.8728824425,124.71218320913928,Palanas
2352,10.872935287595,124.71216902032,Palanas
2352,10.873258742675,124.71219207096,Palanas
2410,10.874280760766666,124.71080805407917,Palanas
2410,10.87435246794375,124.710779412425,Palanas
2410,10.874317365444,124.71084600242,Palanas
2418,10.872832471545,124.711866566035,Palanas
2418,10.872785149639286,124.71183083132857,Palanas
2418,10.872762724764707,124.71181325668235,Palanas
2418,10.873100446592858,124.71160990785,Palanas
2420,10.7434902247125,124.786593207975,Visca
2420,10.743653116499999,124.7867857036,Visca
2420,10.743589958887501,124.78692047415001,Visca
2521,10.8697356371,124.71589814638125,Wangag
2521,10.8697866043125,124.71587991575001,Wangag
