fish_indiv,date,anem_id,old_anem_id,anem_obs,second_year,later_year
1280,17597,2566,NA,472,NA,NA
1283,16584,132,NA,128,NA,NA
1283,16934,2191,NA,286,NA,NA
1283,16966,2192,NA,287,NA,NA
1283,17302,2002,NA,179,NA,NA
1283,17597,2002,NA,179,NA,NA
1283,17621,2002,NA,179,NA,NA
1284,16952,2422,NA,NA,NA,NA
1284,17614,3182,NA,NA,NA,NA
2054,16243,556,NA,7,TRUE,NA
2054,16600,1192,NA,82,TRUE,NA
1307,16956,2480,1122,56,FALSE,FALSE
1307,17316,2724,337?,572,FALSE,FALSE
1317,16588,2089,NA,NA,NA,NA
1317,16952,2420,NA,NA,NA,NA
1331,16940,2271,1286,359,NA,NA
1331,17311,2271,NA,359,NA,NA
1335,16967,2037,NA,209,FALSE,FALSE
1335,17622,3217,NA,NA,FALSE,FALSE
1362,16938,2250,904,343,NA,NA
1362,16967,2250,NA,343,NA,NA
1366,16946,2299,NA,380,NA,NA
1366,17314,2299,NA,380,NA,NA
1366,17325,2299,NA,380,NA,NA
1366,17615,2299,NA,380,NA,NA
1368,16938,2253,1278,344,NA,NA
1368,16952,2253,NA,344,NA,NA
1371,16933,2187,NA,283,NA,NA
1371,17321,2187,NA,283,NA,NA
1371,17601,2187,NA,283,NA,NA
1372,16942,2294,NA,377,TRUE,NA
1372,17328,2905,NA,NA,TRUE,NA
1373,16935,2206,128,104,NA,NA
1373,17302,2621,NA,503,NA,NA
1373,17595,2014,NA,191,NA,NA
1373,17607,2014,NA,191,NA,NA
2133,16243,550,NA,863,NA,NA
2133,16600,550,NA,863,NA,NA
2211,16586,1143,NA,70,FALSE,TRUE
2211,16942,2028,NA,200,FALSE,TRUE
1383,16938,2254,NA,345,NA,NA
1383,16952,2254,NA,345,NA,NA
1385,16940,2274,NA,NA,FALSE,FALSE
1385,17311,2667,NA,538,FALSE,FALSE
1399,16939,2269,397,356,NA,NA
1399,17326,2269,NA,356,NA,NA
1400,16933,2179,810,277,NA,NA
1400,17321,2179,NA,277,NA,NA
1400,17601,2179,810,277,NA,NA
1415,16940,1351,NA,140,TRUE,NA
1415,17308,2661,NA,533,TRUE,NA
1417,16935,2008,NA,185,NA,NA
1417,17301,2202,NA,298,NA,NA
1417,17301,2008,NA,185,NA,NA
1417,17305,2008,NA,185,NA,NA
1417,17328,2008,NA,185,NA,NA
1417,17595,2008,NA,185,NA,NA
1417,17607,2008,NA,185,NA,NA
1417,17621,2008,NA,185,NA,NA
1426,16942,2284,NA,40,NA,NA
1426,16967,2284,NA,40,NA,NA
1433,16933,2186,NA,282,FALSE,FALSE
1433,17608,2175,NA,274,FALSE,FALSE
1441,16599,762,NA,266,NA,NA
1441,17322,2819,762,266,NA,NA
1754,16586,1079,NA,38,FALSE,FALSE
